x,y
99.7282,159.998
99.7286,160.069
99.729,160.139
99.7294,160.209
99.7298,160.279
99.7301,160.348
99.7304,160.417
99.7307,160.486
99.7309,160.555
99.7311,160.624
99.7313,160.692
99.7315,160.761
99.7317,160.829
99.7319,160.896
99.7322,160.964
99.7324,161.031
99.7327,161.099
99.733,161.166
99.7333,161.233
99.7336,161.3
99.7339,161.368
99.7341,161.435
99.7344,161.502
99.7345,161.57
99.7347,161.638
99.7347,161.706
99.7347,161.775
99.7346,161.844
99.7345,161.913
99.7344,161.982
99.7342,162.051
99.734,162.12
99.7337,162.189
99.7335,162.258
99.7333,162.327
99.7331,162.395
99.7329,162.464
99.7328,162.532
99.7327,162.6
99.7326,162.667
99.7325,162.735
99.7325,162.802
99.7326,162.868
99.7327,162.934
99.7328,163
99.7329,163.066
99.7331,163.132
99.7334,163.197
99.7335,163.262
99.7337,163.326
99.7337,163.391
99.7337,163.455
99.7335,163.52
99.7331,163.584
99.7327,163.648
99.7321,163.712
99.7314,163.777
99.7307,163.841
99.73,163.906
99.7294,163.97
99.7288,164.035
99.7284,164.099
99.7282,164.164
99.7281,164.228
99.7281,164.292
99.7282,164.356
99.7283,164.42
99.7286,164.484
99.7289,164.547
99.7292,164.61
99.7296,164.673
99.7299,164.735
99.7302,164.798
99.7305,164.86
99.7307,164.922
99.7308,164.985
99.7308,165.047
99.7307,165.109
99.7305,165.172
99.7302,165.235
99.7298,165.299
99.7294,165.363
99.729,165.427
99.7287,165.491
99.7284,165.555
99.7282,165.62
99.7282,165.685
99.7282,165.749
99.7284,165.814
99.7286,165.878
99.7288,165.943
99.729,166.007
99.7292,166.071
99.7292,166.135
99.7292,166.198
99.7291,166.262
99.729,166.325
99.7287,166.387
99.7284,166.45
99.7281,166.513
99.7277,166.575
99.7274,166.637
99.7271,166.699
99.7269,166.761
99.7268,166.823
99.7268,166.885
99.7269,166.947
99.7271,167.009
99.7273,167.07
99.7277,167.132
99.728,167.193
99.7283,167.255
99.7287,167.316
99.729,167.377
99.7292,167.438
99.7294,167.499
99.7296,167.559
99.7297,167.619
99.7298,167.679
99.7299,167.739
99.73,167.799
99.7301,167.858
99.7303,167.918
99.7304,167.977
99.7306,168.036
99.7308,168.095
99.7309,168.154
99.7309,168.212
99.7309,168.271
99.7307,168.329
99.7304,168.388
99.73,168.446
99.7294,168.505
99.7286,168.563
99.7278,168.622
99.7269,168.681
99.7259,168.74
99.725,168.8
99.7242,168.859
99.7235,168.919
99.7229,168.979
99.7224,169.039
99.7221,169.099
99.7218,169.158
99.7217,169.218
99.7217,169.277
99.7217,169.336
99.7219,169.395
99.722,169.454
99.7222,169.512
99.7223,169.57
99.7225,169.628
99.7226,169.686
99.7227,169.744
99.7227,169.801
99.7226,169.858
99.7226,169.915
99.7225,169.972
99.7224,170.029
99.7223,170.086
99.7223,170.143
99.7224,170.2
99.7226,170.258
99.723,170.315
99.7235,170.372
99.7243,170.429
99.7251,170.487
99.7262,170.545
99.7273,170.603
99.7284,170.662
99.7296,170.722
99.7307,170.781
99.7318,170.841
99.7327,170.901
99.7336,170.962
99.7343,171.022
99.7349,171.082
99.7354,171.142
99.7358,171.202
99.7362,171.262
99.7364,171.321
99.7366,171.381
99.7368,171.44
99.737,171.499
99.7371,171.558
99.7372,171.617
99.7373,171.676
99.7372,171.735
99.7371,171.794
99.7369,171.853
99.7366,171.912
99.7362,171.972
99.7357,172.031
99.7351,172.091
99.7344,172.151
99.7338,172.211
99.7332,172.272
99.7327,172.332
99.7323,172.392
99.7319,172.452
99.7318,172.512
99.7317,172.572
99.7318,172.631
99.732,172.69
99.7323,172.749
99.7327,172.808
99.7331,172.867
99.7336,172.925
99.734,172.983
99.7344,173.041
99.7348,173.099
99.7351,173.157
99.7352,173.216
99.7353,173.274
99.7354,173.333
99.7353,173.392
99.7353,173.451
99.7352,173.51
99.7351,173.569
99.7351,173.628
99.7351,173.688
99.7352,173.747
99.7354,173.806
99.7356,173.865
99.7359,173.924
99.7362,173.983
99.7365,174.042
99.7367,174.101
99.737,174.159
99.7371,174.218
99.7373,174.276
99.7374,174.334
99.7374,174.392
99.7374,174.45
99.7374,174.507
99.7374,174.565
99.7373,174.622
99.7373,174.679
99.7374,174.736
99.7374,174.794
99.7375,174.851
99.7377,174.907
99.7379,174.964
99.738,175.021
99.7382,175.077
99.7384,175.134
99.7386,175.19
99.7387,175.246
99.7388,175.303
99.7389,175.358
99.7389,175.414
99.739,175.47
99.739,175.525
99.739,175.581
99.7391,175.636
99.7392,175.691
99.7393,175.746
99.7395,175.801
99.7397,175.856
99.7399,175.912
99.7402,175.967
99.7406,176.023
99.741,176.079
99.7414,176.135
99.7418,176.191
99.7423,176.248
99.7428,176.305
99.7433,176.361
99.7437,176.418
99.7442,176.476
99.7446,176.533
99.745,176.59
99.7454,176.647
99.7458,176.705
99.7461,176.762
99.7465,176.819
99.7468,176.876
99.7472,176.933
99.7476,176.99
99.7479,177.047
99.7483,177.104
99.7488,177.161
99.7492,177.218
99.7496,177.275
99.7499,177.332
99.7503,177.389
99.7506,177.446
99.7508,177.503
99.751,177.561
99.7511,177.619
99.751,177.677
99.7509,177.736
99.7506,177.795
99.7502,177.855
99.7497,177.916
99.7491,177.978
99.7484,178.04
99.7476,178.104
99.7468,178.168
99.7459,178.233
99.7451,178.299
99.7443,178.366
99.7436,178.433
99.743,178.501
99.7426,178.569
99.7422,178.637
99.7421,178.705
99.7421,178.774
99.7421,178.842
99.7423,178.91
99.7425,178.978
99.7427,179.045
99.743,179.113
99.7431,179.18
99.7433,179.247
99.7434,179.314
99.7434,179.381
99.7434,179.447
99.7433,179.513
99.7432,179.579
99.743,179.645
99.7428,179.71
99.7427,179.775
99.7425,179.84
99.7423,179.905
99.7422,179.97
99.7422,180.034
99.7422,180.099
99.7423,180.163
99.7424,180.227
99.7426,180.291
99.7427,180.355
99.7429,180.419
99.7431,180.483
99.7433,180.546
99.7434,180.61
99.7434,180.674
99.7433,180.738
99.7432,180.803
99.743,180.868
99.7427,180.934
99.7423,181
99.7419,181.067
99.7415,181.135
99.741,181.203
99.7406,181.271
