y1,x1,wave_ht,tuning_factor
19.963,-155.933,0.55,0.200108
19.9681,-155.941,0.7,0.0743172
19.9591,-155.939,0.8,0.104598
19.9647,-155.943,0.75,0.0924696
19.9593,-155.943,0.75,0.0813927
19.9663,-155.943,0.7,0.0773337
19.9641,-155.943,0.9,0.0763308
19.9679,-155.94,0.65,0.0619362
19.959,-155.938,0.75,0.0914653
19.968,-155.936,0.85,1.04366
19.9632,-155.943,0.9,0.114818
19.9636,-155.943,0.95,0.0673665
19.9679,-155.937,0.95,0.0785388
19.962,-155.943,1,0.0865055
19.968,-155.938,0.9,0.118569
19.9604,-155.943,0.85,0.134702
19.968,-155.94,0.95,0.0825722
19.968,-155.942,0.85,0.114599
19.9591,-155.939,1.05,0.083829
19.9635,-155.933,0.7,0.113858
19.968,-155.942,1,0.0810457
19.968,-155.936,0.95,0.0806135
19.9603,-155.943,0.7,0.160504
19.9621,-155.933,0.7,0.121497
19.9681,-155.942,0.8,0.129601
19.9671,-155.933,0.75,0.129659
19.9643,-155.943,0.85,0.102166
19.968,-155.937,0.75,0.0916033
19.9623,-155.933,0.65,0.114507
19.9675,-155.943,0.7,0.114507
19.9679,-155.934,0.65,3.40811
19.9589,-155.942,0.75,0.11376
19.9672,-155.943,0.95,0.0639844
19.968,-155.941,0.9,0.0928875
19.9589,-155.935,0.85,0.116994
19.968,-155.941,0.75,0.101834
19.9666,-155.943,0.75,0.899184
19.9679,-155.934,0.65,0.096798
19.9588,-155.933,0.7,0.0673809
19.9639,-155.943,0.65,0.216112
19.9592,-155.934,0.75,0.27773
19.9626,-155.933,0.6,0.0996556
19.9669,-155.943,0.55,0.214908
19.9678,-155.94,0.55,0.141323
19.9666,-155.934,0.6,0.129787
19.9591,-155.935,0.65,0.0921542
19.9646,-155.933,0.6,0.121922
19.9589,-155.937,0.7,0.121922
19.9619,-155.943,0.7,0.0711806
19.9681,-155.94,0.6,0.118944
19.9668,-155.933,0.65,0.0612231
19.9541,-155.954,0.9,0.0816469
19.968,-155.937,0.95,0.0814658
19.9614,-155.933,0.8,0.121589
19.9681,-155.941,1,0.0834325
19.9658,-155.933,0.9,0.121524
19.959,-155.936,0.9,0.121719
19.9638,-155.943,0.85,0.0677084
19.968,-155.937,0.8,0.0973317
19.9679,-155.94,1.05,0.061993
19.959,-155.942,0.9,0.107558
19.9679,-155.942,1,0.160225
